namaTravel,alamat,kota,telepon,deskripsi,websiteUrl,logoUrl,email,mapUrl
PT Dream Tours & Travel,"Dream House, Jl. Matraman Raya No.7 1st Floor, RT.1/RW.1, Kb. Manggis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13150",Kota Jakarta Timur,0811-9333-000,,http://dreamtour.co/,https://lh3.googleusercontent.com/p/AF1QipM-tx_o7HRpKreOrJVgVqUDqm6xMI1-yPDSUDzE=w408-h306-k-no,info@dreamtour.co,https://www.google.com/maps/place/PT+Dream+Tours+%26+Travel/data=!4m7!3m6!1s0x2e69f4661cf87789:0x7d1183faf37c685c!8m2!3d-6.2001621!4d106.853428!16s%2Fg%2F11bx5pdb_h!19sChIJiXf4HGb0aS4RXGh88_qDEX0?authuser=0&hl=id&rclk=1
UMI Tour & Travel (Travel Umrah & Haji Pelayanan Terbaik),"Jl. Matraman Raya No.17, Kb. Manggis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13150",Kota Jakarta Timur,0877-7677-5344,,https://umi.travel/,https://lh3.googleusercontent.com/p/AF1QipOcbPW9rlFYFsK_ubMlCkAjJyalzNYCZFIjsC0s=w408-h724-k-no,umrah@umi.travel,https://www.google.com/maps/place/UMI+Tour+%26+Travel+%28Travel+Umrah+%26+Haji+Pelayanan+Terbaik%29/data=!4m7!3m6!1s0x2e69f53838eee07f:0x6ffb30ec951497ce!8m2!3d-6.200723!4d106.8527124!16s%2Fg%2F11fpf74876!19sChIJf-DuODj1aS4RzpcUleww-28?authuser=0&hl=id&rclk=1
Munatour Umroh dan Haji Services,"Jl. Harsono RM No.14, RT.7/RW.4, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",Kota Jakarta Selatan,(021) 7822292,,http://munatour.co.id/,https://lh3.googleusercontent.com/p/AF1QipPt00OU7FuL3Pp8JkvLA0ZU2s5t-nRma8KgwHDd=w408-h410-k-no,info@munatour.co.id,https://www.google.com/maps/place/Munatour+Umroh+dan+Haji+Services/data=!4m7!3m6!1s0x2e69edffa9072773:0x68cc702f0d1aae31!8m2!3d-6.3012578!4d106.8205919!16s%2Fg%2F1tf2hvtt!19sChIJcycHqf_taS4RMa4aDS9wzGg?authuser=0&hl=id&rclk=1
Khazzanah Tours & Travel,"Jl. Otista Raya No.46, Cawang, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330",Kota Jakarta Timur,(0263) 515566,,http://www.khazzanahtours.com/,https://lh3.googleusercontent.com/p/AF1QipOTXcAFx3ZVzO7le41YEoVd5aznf6z7Z_60lFsz=w408-h306-k-no,cskhazzanahtours@gmail.com,https://www.google.com/maps/place/Khazzanah+Tours+%26+Travel/data=!4m7!3m6!1s0x2e69f3090fcb9865:0xad8703099bda19c!8m2!3d-6.2433142!4d106.8685344!16s%2Fg%2F11dzv5z0tv!19sChIJZZjLDwnzaS4RnKG9mTBw2Ao?authuser=0&hl=id&rclk=1
Maghfirah Travel | Travel Haji dan Umroh Eksekutif,"Perkantoran Mitra Matraman Blok A1 No. 25-26 Jl. Matraman Raya No.148 Matraman, RT.1/RW.4, Kb. Manggis, Jakarta Timur, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13150",Kota Jakarta Timur,(021) 85918134,,https://maghfirah.co.id/,https://lh3.googleusercontent.com/p/AF1QipPhyLlX-TpgDt4Y3GPo5hKPg_3th0_lSOHq6ckN=w408-h439-k-no,travel@maghfirahtravel.com,https://www.google.com/maps/place/Maghfirah+Travel+%7C+Travel+Haji+dan+Umroh+Eksekutif/data=!4m7!3m6!1s0x2e69f47eba8d0ef7:0xd5836bb167a9cfff!8m2!3d-6.2119293!4d106.8601944!16s%2Fg%2F1tdbt59g!19sChIJ9w6Nun70aS4R_8-pZ7Frg9U?authuser=0&hl=id&rclk=1
Smarts Umrah by DREAM GROUP (Travel Haji & Umrah),"Office 88 Kasablanka Tower A, Jl. Raya Casablanca No.16, RT.16/RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870",Kota Jakarta Selatan,0817-5033-000,,http://smartsumrah.com/,https://lh3.googleusercontent.com/p/AF1QipPrDKRobAkmwkUxcKFqAQ0xQQMEP0aYgd65zpvc=w426-h240-k-no,info@smartsumrah.com,https://www.google.com/maps/place/Smarts+Umrah+by+DREAM+GROUP+%28Travel+Haji+%26+Umrah%29/data=!4m7!3m6!1s0x2e69f7a1472530a3:0x3c33bb4ad98cb83e!8m2!3d-6.224394!4d106.841848!16s%2Fg%2F11gtcwm8wr!19sChIJozAlR6H3aS4RPriM2Uq7Mzw?authuser=0&hl=id&rclk=1
PT Alhijaz Indowisata,"Graha Alhijaz, Jl. Dewi Sartika No.239A, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",Kota Jakarta Timur,(021) 8011111,,https://alhijazindowisata.com/,https://lh3.googleusercontent.com/p/AF1QipMCBF44c2Np9_Dl1t3jf8fWC8tPHuJ71nMxd0_B=w556-h240-k-no,alhijaz_indowisata@hotmail.com,https://www.google.com/maps/place/PT+Alhijaz+Indowisata/data=!4m7!3m6!1s0x2e69f30753d7a3df:0x19cc6c92b7f99654!8m2!3d-6.2513079!4d106.8655437!16s%2Fg%2F11sv1xtqk4!19sChIJ36PXUwfzaS4RVJb5t5JszBk?authuser=0&hl=id&rclk=1
Kautsar Motivatour Travel Umroh Terbaik dan Wisata Halal | PT. Kautsar Grup Internasional,"Jl. Lb. Bulus Pd. Ruko No.6C, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",Kota Jakarta Selatan,0812-2208-1199,,http://www.kautsarmotivatour.com/,https://lh3.googleusercontent.com/p/AF1QipNwibOBJ8zMoWaWT3F8lyCdxxNhB7A7Z-8Gn6fz=w408-h306-k-no,kautsarmotivatour@gmail.com,https://www.google.com/maps/place/Kautsar+Motivatour+Travel+Umroh+Terbaik+dan+Wisata+Halal+%7C+PT.+Kautsar+Grup+Internasional/data=!4m7!3m6!1s0x2e69f105fd155659:0x5b6f80ae245f6e9f!8m2!3d-6.2995677!4d106.7745279!16s%2Fg%2F11s8mryqsb!19sChIJWVYV_QXxaS4Rn25fJK6Ab1s?authuser=0&hl=id&rclk=1
Elmanaseek Umrah Haji Tour Travel PT. MENARA GOLDEN TRAVEL,"Jl. Taman Malaka Selatan No.6 blok K, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Kota Jakarta Timur,,,http://elmanaseek.id/,https://lh3.googleusercontent.com/p/AF1QipNXtF1czT_0SXoUvM-78znPNoI3X6D9Ff-IHtya=w426-h240-k-no,admin@elmanaseek.id,https://www.google.com/maps/place/Elmanaseek+Umrah+Haji+Tour+Travel+PT.+MENARA+GOLDEN+TRAVEL/data=!4m7!3m6!1s0x2e69f563895185f3:0x2e16be85ce46ce1c!8m2!3d-6.2325799!4d106.9315139!16s%2Fg%2F11j34hsqz9!19sChIJ84VRiWP1aS4RHM5GzoW-Fi4?authuser=0&hl=id&rclk=1
Alburaq United Travel Umroh,"Jl. Bukit Duri Tanjakan No.108B, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12840",Kota Jakarta Selatan,0812-9951-7566,,https://alburaqindonesia.com/,https://lh3.googleusercontent.com/p/AF1QipOJjTbviIhHP67S3irMzOGTDlnL_NU63nVoeAwr=w408-h273-k-no,support@gmail.com,https://www.google.com/maps/place/Alburaq+United+Travel+Umroh/data=!4m7!3m6!1s0x2e69f331d5a323bd:0xf02ec5ba210774bb!8m2!3d-6.2249326!4d106.8591575!16s%2Fg%2F11lywt1b2h!19sChIJvSOj1THzaS4Ru3QHIbrFLvA?authuser=0&hl=id&rclk=1
